CollationId,Variant,Classic
40001023004,,εν
40001023005,,γαστρι
40001023006,,εξει
40001023007,,και
40001023008,,τεξεται
40001023009,,υιον
40001023010,,και
40001023011,V,καλεσουσιν
40001023012,V,καλεσεισ
40001023013,,το
40001023014,,ονομα
40001023015,V,αυτου
40001023016,,εμμανουηλ
40001023017,,ο
40001023018,V,εστιν
40001023019,,μεθερμηνευομενον
40001023020,,μεθ
40001023021,,ημων
40001023022,,ο
40001023023,,θεοσ
40001024001,V,εγερθεισ
40001024002,V,διεγερθεισ
40001024003,,δε
40001024004,V,ο
40001024005,,ιωσηφ
40001024006,,απο
40001024007,,του
40001024008,,υπνου
40001024009,,εποιησεν
40001024010,,ωσ
40001024011,,προσεταξεν
40001024012,,αυτω
40001024013,,ο
40001024014,,αγγελοσ
40001024015,,κυριου
40001024016,,και
40001024017,V,παρελαβεν
40001024018,,την
40001024019,,γυναικα
40001024020,V,εαυτου
40001024021,V,αυτου
40001025001,,και
40001025002,,ουκ
40001025003,V,εγινωσκεν
40001025004,V,εγνω
40001025005,,αυτην
40001025006,,εωσ
40001025007,V,ου
40001025008,V,ετεκεν
40001025009,V,τον
40001025010,,υιον
40001025011,V,αυτησ
40001025012,V,τον
40001025013,V,πρωτοτοκον
40001025014,,και
40001025015,V,εκαλεσεν
40001025016,,το
40001025017,,ονομα
40001025018,,αυτου
40001025019,,ιησουν
40002001001,,του
40002001002,,δε
40002001003,,ιησου
40002001004,,γεννηθεντοσ
40002001005,,εν
40002001006,,βηθλεεμ
40002001007,,τησ
40002001008,,ιουδαιασ
40002001009,,εν
40002001010,V,ημεραισ
40002001011,V,ηρωδου
40002001012,V,του
40002001013,,βασιλεωσ
40002001014,,ιδου
40002001015,,μαγοι
40002001016,,απο
40002001017,,ανατολων
40002001018,,παρεγενοντο
40002001019,,εισ
40002001020,V,ιεροσολυμα
40002002001,,λεγοντεσ
40002002002,,που
40002002003,,εστιν
40002002004,,ο
40002002005,,τεχθεισ
40002002006,,βασιλευσ
40002002007,,των
40002002008,,ιουδαιων
40002002009,,ειδομεν
40002002010,,γαρ
40002002011,,αυτου
40002002012,,τον
40002002013,,αστερα
40002002014,V,εν
40002002015,,τη
40002002016,,ανατολη
40002002017,,και
40002002018,,ηλθομεν
40002002019,,προσκυνησαι
40002002020,,αυτω
40002003001,,ακουσασ
40002003002,,δε
40002003003,V,ηρωδησ
40002003004,V,ο
40002003005,V,βασιλευσ
40002003006,V,ηρωδησ
40002003007,,εταραχθη
40002003008,,και
40002003009,V,πασα
40002003010,,ιεροσολυμα
40002003011,,μετ
40002003012,,αυτου
40002004001,,και
40002004002,,συναγαγων
40002004003,,παντασ
40002004004,,τουσ
40002004005,,αρχιερεισ
40002004006,,και
40002004007,,γραμματεισ
40002004008,,του
40002004009,,λαου
40002004010,,επυνθανετο
40002004011,V,παρ
40002004012,V,αυτων
40002004013,,που
40002004014,,ο
40002004015,,χριστοσ
40002004016,,γενναται
40002005001,,οι
40002005002,,δε
40002005003,V,ειπον
40002005004,V,αυτω
40002005005,,εν
40002005006,,βηθλεεμ
40002005007,,τησ
40002005008,,ιουδαιασ
40002005009,V,ουτωσ
40002005010,,γαρ
40002005011,,γεγραπται
40002005012,,δια
40002005013,,του
40002005014,,προφητου
40002006001,,και
40002006002,,συ
40002006003,V,βηθλεεμ
40002006004,V,γη
40002006005,V,τη
40002006006,V,τησ
40002006007,V,ιουδα
40002006008,V,ιουδα
40002006009,V,ιουδαιασ
40002006010,V,μη
40002006011,V,ουδαμωσ
40002006012,,ελαχιστη
40002006013,,ει
40002006014,,εν
40002006015,,τοισ
40002006016,,ηγεμοσιν
40002006017,,ιουδα
40002006018,V,εξ
40002006019,V,ου
40002006020,V,σου
40002006021,V,γαρ
40002006022,V,μοι
40002006023,,εξελευσεται
40002006024,,ηγουμενοσ
40002006025,,οστισ
40002006026,,ποιμανει
40002006027,,τον
40002006028,,λαον
40002006029,,μου
40002006030,,τον
40002006031,,ισραηλ
40002007001,,τοτε
40002007002,,ηρωδησ
40002007003,,λαθρα
40002007004,,καλεσασ
40002007005,,τουσ
40002007006,,μαγουσ
40002007007,V,ηκριβωσεν
40002007008,V,ηκριβασεν
40002007009,,παρ
40002007010,,αυτων
40002007011,,τον
40002007012,,χρονον
40002007013,,του
40002007014,,φαινομενου
40002007015,,αστεροσ
40002008001,,και
40002008002,,πεμψασ
40002008003,,αυτουσ
40002008004,,εισ
40002008005,V,βηθλεεμ
40002008006,V,ειπεν
40002008007,V,αυτοισ
40002008008,,πορευθεντεσ
40002008009,V,ακριβωσ
40002008010,V,εξετασατε
40002008011,V,ακριβωσ
40002008012,,περι
40002008013,,του
40002008014,,παιδιου
40002008015,V,οταν
40002008016,V,επαν
40002008017,,δε
40002008018,V,ευρητε
40002008019,V,ευρηται
40002008020,V,επαγγειλατε
40002008021,V,απαγγειλατε
40002008022,,μοι
40002008023,,οπωσ
40002008024,,καγω
40002008025,,ελθων
40002008026,,προσκυνησω
40002008027,,αυτω
40002009001,,οι
40002009002,,δε
40002009003,V,ακουσαντεσ
40002009004,V,ακουσαν
40002009005,,του
40002009006,,βασιλεωσ
40002009007,,επορευθησαν
40002009008,,και
40002009009,,ιδου
40002009010,,ο
40002009011,,αστηρ
40002009012,,ον
40002009013,,ειδον
40002009014,,εν
40002009015,,τη
40002009016,,ανατολη
40002009017,V,προηγεν
40002009018,V,προηγον
40002009019,,αυτουσ
40002009020,,εωσ
40002009021,,ελθων
40002009022,V,εσταθη
40002009023,V,εστη
40002009024,,επανω
40002009025,V,ου
40002009026,V,ην
40002009027,V,το
40002009028,V,του
40002009029,V,παιδιον
40002009030,V,παιδιου
40002010001,,ιδοντεσ
40002010002,,δε
40002010003,,τον
40002010004,V,αστερα
40002010005,,εχαρησαν
40002010006,,χαραν
40002010007,,μεγαλην
40002010008,,σφοδρα
40002011001,,και
40002011002,,ελθοντεσ
40002011003,,εισ
40002011004,,την
40002011005,,οικιαν
40002011006,V,ειδον
40002011007,V,ευρον
40002011008,V,το
40002011009,V,τον
40002011010,V,παιδιον
40002011011,V,παιδα
40002011012,,μετα
40002011013,,μαριασ
40002011014,,τησ
40002011015,,μητροσ
40002011016,,αυτου
40002011017,,και
40002011018,,πεσοντεσ
40002011019,,προσεκυνησαν
40002011020,,αυτω
40002011021,,και
40002011022,,ανοιξαντεσ
40002011023,,τουσ
40002011024,,θησαυρουσ
40002011025,,αυτων
40002011026,,προσηνεγκαν
40002011027,,αυτω
40002011028,,δωρα
40002011029,,χρυσον
40002011030,,και
40002011031,,λιβανον
40002011032,,και
40002011033,,σμυρναν
40002012001,,και
40002012002,,χρηματισθεντεσ
40002012003,,κατ
40002012004,,οναρ
40002012005,,μη
40002012006,,ανακαμψαι
40002012007,,προσ
40002012008,,ηρωδην
40002012009,,δι
40002012010,,αλλησ
40002012011,,οδου
40002012012,,ανεχωρησαν
40002012013,,εισ
40002012014,,την
40002012015,V,εαυτων
40002012016,V,χωραν
40002012017,V,αυτων
40002013001,V,αναχωρησαντων
40002013002,V,αυτων
40002013003,V,δε
40002013004,V,αυτων
40002013005,V,αναχωρησαντων
40002013006,V,εισ
40002013007,V,την
40002013008,V,χωραν
40002013009,V,αυτων
40002013010,,ιδου
40002013011,,αγγελοσ
40002013012,,κυριου
40002013013,V,φαινεται
40002013014,V,κατ
40002013015,V,οναρ
40002013016,V,φαινεται
40002013017,V,εφανη
40002013018,V,τω
40002013019,V,ιωσηφ
40002013020,V,κατ
40002013021,V,οναρ
40002013022,,λεγων
40002013023,,εγερθεισ
40002013024,,παραλαβε
40002013025,V,το
40002013026,V,τον
40002013027,V,παιδιον
40002013028,V,παιδα
40002013029,,και
40002013030,,την
40002013031,,μητερα
40002013032,,αυτου
40002013033,,και
40002013034,,φευγε
40002013035,,εισ
40002013036,,αιγυπτον
40002013037,,και
40002013038,,ισθι
40002013039,,εκει
40002013040,,εωσ
40002013041,,αν
40002013042,V,ειπω
40002013043,V,σοι
40002013044,V,ειπω
40002013045,,μελλει
40002013046,,γαρ
40002013047,,ηρωδησ
40002013048,,ζητειν
40002013049,V,το
40002013050,V,τον
40002013051,V,παιδιον
40002013052,V,παιδα
40002013053,,του
40002013054,,απολεσαι
40002013055,V,αυτο
40002013056,V,αυτον
40002014001,,ο
40002014002,,δε
40002014003,V,διεγερθεισ
40002014004,V,εγερθεισ
40002014005,V,παρελαβε
40002014006,V,το
40002014007,V,τον
40002014008,V,παιδιον
40002014009,V,παιδα
40002014010,,και
40002014011,,την
40002014012,,μητερα
40002014013,,αυτου
40002014014,,νυκτοσ
40002014015,,και
40002014016,,ανεχωρησεν
40002014017,,εισ
40002014018,,αιγυπτον
40002015001,,και
40002015002,,ην
40002015003,,εκει
40002015004,,εωσ
40002015005,,τησ
40002015006,,τελευτησ
40002015007,,ηρωδου
40002015008,,ινα
40002015009,,πληρωθη
40002015010,,το
40002015011,,ρηθεν
40002015012,,υπο
40002015013,V,του
40002015014,,κυριου
40002015015,,δια
40002015016,,του
40002015017,,προφητου
40002015018,,λεγοντοσ
40002015019,,εξ
40002015020,,αιγυπτου
40002015021,,εκαλεσα
40002015022,,τον
40002015023,,υιον
40002015024,,μου
40002016001,,τοτε
40002016002,,ηρωδησ
40002016003,,ιδων
40002016004,,οτι
40002016005,,ενεπαιχθη
40002016006,,υπο
40002016007,,των
40002016008,,μαγων
40002016009,,εθυμωθη
40002016010,,λιαν
40002016011,,και
40002016012,,αποστειλασ
40002016013,V,ανειλεν
40002016014,,παντασ
40002016015,,τουσ
40002016016,,παιδασ
40002016017,,τουσ
40002016018,,εν
40002016019,,βηθλεεμ
40002016020,,και
40002016021,,εν
40002016022,V,πασιν
40002016023,,τοισ
40002016024,,οριοισ
40002016025,,αυτησ
40002016026,,απο
40002016027,V,διετιασ
40002016028,V,διετουσ
40002016029,,και
40002016030,V,κατω
40002016031,V,κατωτερω
40002016032,,κατα
40002016033,,τον
40002016034,,χρονον
40002016035,,ον
40002016036,V,ηκριβωσεν
40002016037,V,ηκριβασεν
40002016038,,παρα
40002016039,,των
40002016040,,μαγων
40002017001,,τοτε
40002017002,,επληρωθη
40002017003,,το
40002017004,,ρηθεν
40002017005,V,υπο
40002017006,V,κυριου
40002017007,V,δια
40002017008,,ιερεμιου
40002017009,V,του
40002017010,V,προφητου
40002017011,,λεγοντοσ
40002018001,,φωνη
40002018002,,εν
40002018003,,ραμα
40002018004,,ηκουσθη
40002018005,V,θρηνοσ
40002018006,V,και
40002018007,,κλαυθμοσ
40002018008,,και
40002018009,,οδυρμοσ
40002018010,,πολυσ
40002018011,,ραχηλ
40002018012,,κλαιουσα
40002018013,,τα
40002018014,,τεκνα
40002018015,,αυτησ
40002018016,,και
40002018017,,ουκ
40002018018,V,ηθελεν
40002018019,V,ηθελησεν
40002018020,,παρακληθηναι
40002018021,,οτι
40002018022,,ουκ
40002018023,V,εισιν
40002019001,,τελευτησαντοσ
40002019002,,δε
40002019003,,του
40002019004,,ηρωδου
40002019005,,ιδου
40002019006,,αγγελοσ
40002019007,,κυριου
40002019008,V,φαινεται
40002019009,V,κατ
40002019010,V,οναρ
40002019011,V,φαινεται
40002019012,,τω
40002019013,,ιωσηφ
40002019014,,εν
40002019015,,αιγυπτω
40002020001,,λεγων
40002020002,,εγερθεισ
40002020003,,παραλαβε
40002020004,V,το
40002020005,V,τον
40002020006,V,παιδιον
40002020007,V,παιδα
40002020008,,και
40002020009,,την
40002020010,,μητερα
40002020011,,αυτου
40002020012,,και
40002020013,,πορευου
40002020014,,εισ
40002020015,,γην
40002020016,,ισραηλ
40002020017,V,τεθνηκασιν
40002020018,,γαρ
40002020019,,οι
40002020020,,ζητουντεσ
40002020021,,την
40002020022,V,την
40002020023,,ψυχην
40002020024,,του
40002020025,,παιδιου
40002021001,,ο
40002021002,,δε
40002021003,V,διεγερθεισ
40002021004,V,εγερθεισ
40002021005,V,παρελαβεν
40002021006,V,το
40002021007,V,τον
40002021008,V,παιδιον
40002021009,V,παιδα
40002021010,,και
40002021011,,την
40002021012,,μητερα
40002021013,,αυτου
40002021014,,και
40002021015,V,εισηλθεν
40002021016,V,ηλθεν
40002021017,,εισ
40002021018,V,γην
40002021019,V,την
40002021020,,ισραηλ
40002022001,,ακουσασ
40002022002,,δε
40002022003,,οτι
40002022004,,αρχελαοσ
40002022005,,βασιλευει
40002022006,V,επι
40002022007,,τησ
40002022008,,ιουδαιασ
40002022009,,αντι
40002022010,V,ηρωδου
40002022011,V,του
40002022012,V,πατροσ
40002022013,V,αυτου
40002022014,V,ηρωδου
40002022015,,εφοβηθη
40002022016,,εκει
40002022017,,απελθειν
40002022018,,χρηματισθεισ
40002022019,,δε
40002022020,,κατ
40002022021,,οναρ
40002022022,,ανεχωρησεν
40002022023,,εισ
40002022024,,τα
40002022025,,μερη
40002022026,,τησ
40002022027,,γαλιλαιασ
40002023001,,και
40002023002,,ελθων
40002023003,,κατωκησεν
40002023004,,εισ
40002023005,,πολιν
40002023006,,λεγομενην
40002023007,V,ναζαρετ
40002023008,,οπωσ
40002023009,,πληρωθη
40002023010,,το
40002023011,,ρηθεν
40002023012,V,υπο
40002023013,V,δια
40002023014,,των
40002023015,,προφητων
40002023016,,οτι
40002023017,,ναζωραιοσ
40002023018,,κληθησεται
40003001001,,εν
40003001002,V,δε
40003001003,,ταισ
40003001004,V,ημεραισ
40003001005,,εκειναισ
40003001006,,παραγινεται
40003001007,,ιωαννησ
40003001008,,ο
40003001009,,βαπτιστησ
40003001010,,κηρυσσων
